,二手车价格,品牌,新车购入价格,行驶里程,使用时间,车牌所在地,外迁标准1,外迁标准2,变速箱,过户次数,上架时间,超值,急售,0过户,准新车,综合车况,外观检测
0,1.0,1,4.89,7.94,86,1,0,0,0,1,3,0,1,0,0,3,2
1,1.0,1,13.87,10.71,142,1,0,1,1,1,3,1,0,0,0,3,0
2,1.88,1,16.16,9.12,148,1,0,1,1,4,3,0,0,0,0,3,4
3,1.4,0,9.17,10.07,144,0,0,1,0,0,3,1,1,1,0,2,5
4,1.68,0,6.98,14.24,77,0,0,1,0,1,3,1,0,0,0,3,0
5,1.5,1,4.58,11.36,98,1,0,1,0,0,3,1,1,1,0,2,2
6,1.8,0,7.49,10.01,96,0,0,1,0,2,3,1,0,0,0,2,2
7,1.8,1,8.53,10.33,112,1,0,1,0,0,3,1,0,1,0,3,2
8,1.1,1,4.89,3.33,78,2,0,1,0,0,15,1,1,1,0,2,1
9,2.0,0,9.68,3.85,129,1,0,1,1,0,3,0,0,1,0,3,1
10,2.0,0,6.38,4.62,123,1,0,1,0,0,15,1,0,1,0,3,1
11,1.88,1,11.97,13.35,177,1,0,1,1,1,3,0,0,0,0,3,0
12,2.0,0,6.55,5.16,70,1,0,0,0,0,3,1,0,1,0,3,0
13,2.0,1,10.94,12.02,125,1,0,1,1,2,30,0,0,0,0,1,11
14,1.98,0,6.64,2.81,80,1,0,0,0,1,3,1,1,0,0,1,11
15,1.66,0,5.62,7.76,90,1,0,1,0,1,120,0,0,0,0,1,10
16,1.98,1,13.01,26.61,129,1,0,1,0,2,3,1,0,0,0,3,0
17,2.0,1,14.86,10.43,123,0,0,1,1,1,3,1,0,0,0,1,10
18,2.0,1,10.09,6.64,143,1,0,1,1,0,15,0,0,1,0,1,11
19,1.5,0,13.87,10.77,114,1,0,1,0,0,3,0,0,1,0,1,8
20,1.5,0,5.41,11.13,126,1,0,1,0,3,120,0,0,0,0,1,11
21,1.2,1,8.12,9.28,122,1,0,1,0,0,15,1,1,1,0,2,3
22,1.5,1,9.26,12.65,154,1,1,1,0,2,60,0,0,0,0,1,10
23,1.1,1,9.48,12.93,142,2,0,1,0,1,15,0,1,0,0,1,6
24,1.78,0,12.28,13.02,105,0,0,1,1,3,15,1,1,0,0,1,8
25,1.4,0,5.61,10.84,104,0,0,1,0,1,3,1,0,0,0,3,0
26,2.0,1,11.5,7.05,118,1,0,1,0,0,15,0,0,1,0,1,7
27,1.38,0,4.79,5.69,93,0,0,1,0,2,3,0,0,0,0,3,1
28,1.9,1,12.6,18.99,166,0,0,1,1,0,3,1,0,1,0,3,0
29,2.0,0,4.37,4.49,56,1,0,0,0,1,120,1,0,0,0,3,4
30,1.0,0,6.25,11.34,158,0,0,1,0,3,3,1,0,0,0,1,7
31,2.0,1,11.45,12.81,138,2,0,1,0,0,3,1,0,1,0,1,11
32,1.76,1,11.25,9.39,132,1,0,1,0,0,3,1,1,1,0,1,6
33,1.38,0,6.76,14.55,133,0,0,1,0,1,3,1,0,0,0,1,9
34,1.08,0,3.9,7.87,68,0,0,1,0,0,3,0,0,1,0,3,2
35,1.5,1,13.35,15.21,162,1,1,1,1,3,15,0,0,0,0,1,13
36,1.8,0,6.86,6.12,94,0,0,1,0,0,15,1,0,1,0,3,0
37,1.0,1,8.64,11.35,162,1,1,1,1,0,7,1,0,1,0,3,3
38,1.08,1,8.95,16.57,152,0,0,1,0,0,3,0,0,1,0,1,7
39,1.3,1,12.91,12.37,143,0,0,1,0,0,3,0,0,1,0,1,6
40,1.8,0,4.88,8.5,91,1,0,0,0,0,15,1,0,1,0,3,0
41,1.88,0,6.24,8.13,69,0,0,0,0,0,15,1,0,1,0,3,0
42,1.3,0,6.24,4.92,60,1,0,0,0,1,30,0,0,0,0,1,8
43,1.38,0,6.24,5.67,122,1,0,1,0,0,3,1,1,1,0,2,4
44,2.0,1,26.25,15.59,159,1,1,1,1,0,3,1,0,1,0,3,0
45,2.0,0,9.35,7.55,102,1,0,1,0,0,3,0,0,1,0,3,0
46,1.0,1,12.91,9.11,151,0,1,1,0,2,15,0,0,0,0,1,7
47,1.4,1,6.45,9.25,102,0,0,1,0,1,60,0,0,0,0,1,14
48,1.48,1,4.58,5.9,86,0,0,0,0,1,15,1,0,0,0,3,1
49,1.5,0,11.48,5.24,125,0,0,1,0,1,15,0,0,0,0,3,4
50,1.0,1,12.91,29.48,161,1,0,1,0,1,15,1,0,0,0,1,9
51,2.0,0,6.86,8.89,105,0,0,1,0,1,15,1,0,0,0,3,0
52,1.66,1,7.17,12.93,113,1,0,1,0,0,30,0,0,1,0,1,8
53,1.98,1,14.06,8.88,131,0,0,1,1,0,15,1,1,1,0,3,2
54,1.0,1,11.25,18.9,160,1,0,1,0,2,30,1,0,0,0,1,6
55,1.5,0,6.86,3.04,102,0,0,1,0,0,30,0,0,1,0,1,12
56,1.8,0,12.68,8.98,89,0,0,0,0,0,15,1,1,1,0,3,0
57,1.1,0,11.7,14.4,106,1,0,1,0,0,30,1,0,1,0,3,4
58,1.0,0,11.34,5.58,129,1,0,1,0,0,30,0,0,1,0,1,6
59,1.88,1,4.58,3.66,66,0,0,1,0,2,30,1,0,0,0,3,3
60,1.62,1,12.5,12.9,133,1,0,1,0,0,15,1,1,1,0,3,0
61,1.3,1,10.51,2.71,116,2,0,1,0,0,30,1,0,1,0,3,4
62,1.6,0,8.21,7.97,81,1,0,1,0,0,30,1,0,1,0,3,0
63,1.8,1,19.81,24.46,172,1,1,1,0,0,15,1,1,1,0,3,5
64,1.0,0,7.59,9.59,134,1,0,1,0,1,7,1,0,0,0,3,2
65,1.6,1,10.41,4.7,120,1,0,1,0,0,7,0,0,1,0,3,2
66,1.5,0,6.55,10.09,124,0,0,1,0,0,30,1,0,1,0,3,2
67,1.5,1,12.3,15.02,157,1,0,1,0,0,30,0,0,1,0,1,8
68,1.98,1,10.41,14.09,138,1,0,1,0,2,30,0,0,0,0,1,8
69,1.0,0,7.28,5.27,120,1,0,1,0,0,15,1,1,1,0,3,4
70,1.0,0,3.53,14.23,101,1,0,1,0,0,7,0,0,1,0,3,2
71,1.6,0,16.37,8.16,140,1,0,1,1,1,7,1,1,0,0,2,5
72,1.0,1,6.76,12.1,129,1,0,1,0,1,7,1,0,0,0,3,4
73,2.0,1,19.52,20.45,162,2,0,1,1,3,15,1,0,0,0,1,12
74,1.7,0,7.07,8.22,100,1,0,0,0,1,30,1,0,0,0,3,1
