,汽车品牌,二手车价格,新车购入价格,行驶里程,使用时间,车牌所在地,外迁标准1,外迁标准2,变速箱,过户次数,上架时间,超值,急售,0过户,准新车,综合车况,外观检测
0,江淮,1.99,6.98,14.44,84,重庆,0,0,1,0,7,1,0,1,0,1,7
1,众泰,1.88,6.99,7.41,80,成都,1,1,0,0,7,1,1,1,0,3,0
2,东风,2.0,8.69,7.61,96,郑州,0,0,0,0,7,0,0,1,0,3,2
3,大众,3.0,13.64,11.06,116,武汉,0,1,1,0,7,1,0,1,0,2,1
4,长安跨越,2.98,5.06,7.07,35,深圳,0,0,0,1,7,1,0,0,0,3,0
5,大众,3.0,14.06,2.6,121,吉安,0,1,1,1,7,0,0,0,0,1,10
6,野马汽车,2.18,7.58,4.83,69,重庆,0,0,0,1,7,1,1,0,0,3,0
7,大众,2.7,24.67,9.93,176,潍坊,1,1,1,5,7,1,0,0,0,1,16
8,比亚迪,2.0,11.93,9.14,111,成都,0,1,1,2,7,1,0,0,0,3,3
9,大众,1.8,13.64,12.78,151,深圳,1,1,1,1,7,0,1,0,0,1,6
10,大众,1.8,11.76,13.51,166,北京,1,1,0,0,7,0,0,1,0,1,6
11,五菱汽车,2.0,3.21,2.96,51,石家庄,0,0,0,1,7,0,0,0,0,3,0
12,长安跨越,2.98,3.69,1.27,38,郑州,0,0,0,0,7,1,0,1,0,3,0
13,铃木,2.0,4.67,6.31,91,沈阳,0,1,0,1,7,1,1,0,0,3,0
14,雪佛兰,3.0,12.5,8.82,96,贵阳,0,1,0,2,7,0,0,0,0,1,13
15,丰田,2.4,16.26,12.56,167,天津,1,1,0,0,7,0,0,1,0,1,19
16,铃木,1.8,6.14,3.18,153,北京,0,1,1,0,7,1,1,1,0,3,3
17,奥迪,2.4,43.2,19.03,170,潍坊,1,1,1,1,3,1,0,0,0,1,11
18,福特,1.8,9.37,8.45,113,南京,0,1,0,1,7,0,0,0,0,1,6
19,马自达,1.5,13.35,15.21,162,重庆,1,1,1,3,15,0,0,0,0,1,13
20,别克,3.0,14.36,14.23,92,苏州,0,1,0,0,7,1,0,1,0,1,10
21,东风风行,2.0,8.02,9.41,102,宁波,0,1,0,1,7,1,0,0,0,3,0
22,雪佛兰,1.62,12.5,12.9,133,成都,0,1,0,0,7,1,1,1,0,3,0
23,长安,1.4,6.45,9.25,102,达州,0,1,0,1,60,0,0,0,0,1,14
24,福特,1.68,12.46,6.69,140,石家庄,0,1,0,0,7,1,0,1,0,2,4
25,华泰,2.7,14.08,11.3,96,昆明,0,1,1,2,7,0,0,0,0,1,13
26,现代,2.3,12.49,5.08,144,天津,0,1,1,1,7,1,0,0,0,1,7
27,别克,2.98,27.45,19.47,143,成都,0,1,1,2,7,0,0,0,0,1,10
28,宝骏,3.0,9.1,13.53,81,重庆,0,0,0,0,30,0,0,1,0,3,1
29,起亚,2.08,9.36,15.65,110,合肥,0,1,0,0,7,1,1,1,0,3,1
30,长安,3.0,8.44,7.82,70,成都,0,0,0,1,7,1,0,0,0,2,5
31,菲亚特,3.0,13.43,12.28,73,苏州,0,1,1,0,7,1,0,1,0,3,5
32,力帆汽车,1.3,6.24,4.92,60,重庆,0,0,0,1,30,0,0,0,0,1,8
33,别克,0.89,11.25,11.09,142,合肥,0,1,0,0,7,1,0,1,0,3,0
34,五菱汽车,0.88,3.11,6.25,88,成都,0,0,0,0,7,0,0,1,0,2,2
35,广汽传祺,1.98,7.9,8.64,94,深圳,0,0,0,0,7,1,0,1,0,3,0
36,福特,1.98,12.24,13.64,119,重庆,0,1,0,0,7,1,1,1,0,3,0
37,雪铁龙,2.98,12.28,12.75,88,成都,0,0,0,0,30,0,0,1,0,1,7
38,铃木,0.78,5.51,13.82,155,成都,1,1,0,0,7,1,1,1,0,3,0
39,马自达,1.5,9.26,12.65,154,重庆,1,1,0,2,60,0,0,0,0,1,10
40,别克,2.0,10.94,12.02,125,重庆,0,1,1,2,30,0,0,0,0,1,11
41,标致,1.08,9.68,14.35,143,佛山,0,1,0,1,7,0,0,0,0,3,0
42,别克,2.5,12.29,10.77,138,重庆,0,1,1,0,7,1,0,1,0,1,10
43,雪铁龙,2.2,12.39,11.96,122,重庆,0,1,1,2,30,0,0,0,0,3,3
44,现代,1.5,9.36,20.43,135,北京,0,1,0,0,7,1,0,1,0,1,11
45,福特,3.0,10.21,5.79,129,重庆,1,1,1,1,30,0,0,0,0,1,8
46,长安凯程,2.0,4.37,4.49,56,重庆,0,0,0,1,120,1,0,0,0,3,4
47,别克,2.58,14.36,8.26,130,东莞,0,1,0,0,7,1,0,1,0,1,7
48,大众,2.0,11.24,10.71,119,合肥,0,1,0,0,7,0,0,1,0,3,0
49,奔腾,1.78,15.39,12.93,142,成都,0,1,1,0,7,1,1,1,0,3,0
50,长安,2.5,8.64,7.17,104,重庆,0,1,0,2,30,0,0,0,0,1,6
51,东风风光,2.38,4.58,3.6,46,重庆,0,0,0,0,60,0,0,1,0,2,4
52,菲亚特,2.66,11.34,8.73,103,重庆,0,1,0,0,30,0,0,1,0,2,5
53,五菱汽车,2.9,4.88,0.95,48,重庆,0,0,0,0,15,1,0,1,0,1,5
54,长安,2.5,7.39,6.82,75,重庆,0,0,0,0,30,0,0,1,0,1,10
55,铃木,2.5,4.79,4.39,66,德州,0,0,0,0,7,1,0,1,0,3,0
56,铃木,1.5,4.68,10.5,123,重庆,0,1,0,1,30,0,1,0,0,1,8
57,长安欧尚,1.5,5.52,8.38,100,重庆,0,1,0,1,15,0,0,0,0,1,8
58,众泰,0.5,6.46,4.37,110,佛山,0,1,0,1,7,1,0,0,0,2,4
59,别克,1.3,11.25,9.03,143,重庆,0,1,0,1,30,1,0,0,0,1,6
60,丰田,3.0,16.26,19.76,178,成都,1,1,0,0,60,0,0,1,0,1,11
61,大众,1.0,10.18,16.3,166,重庆,1,1,0,2,30,0,1,0,0,1,13
62,马自达,2.0,10.09,6.64,143,重庆,0,1,1,0,15,0,0,1,0,1,11
63,宝骏,2.2,7.38,4.19,73,青岛,0,0,0,0,7,0,0,1,0,2,3
64,大众,2.98,10.25,9.25,106,成都,0,0,0,0,7,1,1,1,0,1,7
65,雪佛兰,2.38,9.37,8.31,147,成都,0,1,1,1,7,1,0,0,0,3,3
66,雪佛兰,2.6,13.34,8.46,106,嘉兴,0,1,1,2,7,1,1,0,0,3,3
67,东风风行,2.3,8.89,10.66,84,宁波,0,0,0,0,7,0,0,1,0,3,0
68,东风小康,3.0,5.61,3.46,19,洛阳,0,0,0,0,7,1,1,1,0,3,1
69,五菱汽车,1.5,4.98,10.48,104,十堰,0,1,0,0,15,1,0,1,0,1,10
70,金杯,3.0,4.05,1.05,12,重庆,0,0,0,0,30,1,0,1,1,3,0
71,众泰,2.5,8.63,10.71,71,中山,0,1,0,0,30,0,0,1,0,1,6
72,荣威,2.7,8.21,14.06,73,宁波,0,0,0,1,7,1,0,0,0,3,0
73,长安跨越,2.4,3.9,6.68,48,成都,0,0,0,1,7,1,1,0,0,3,0
74,丰田,2.5,11.25,6.86,155,沈阳,0,1,1,1,7,0,0,0,0,3,3
75,标致,2.5,9.68,11.33,138,重庆,0,1,0,0,60,0,1,1,0,1,13
76,斯柯达,2.0,9.79,11.4,143,西宁,0,1,1,1,30,0,0,0,0,1,10
77,奇瑞,2.5,7.71,5.62,87,南京,0,1,0,0,7,0,0,1,0,3,0
78,雪佛兰,3.0,17.57,11.4,151,重庆,0,1,1,1,60,0,0,0,0,1,12
79,长安,1.25,5.1,12.5,101,重庆,0,1,0,1,15,0,0,0,0,1,9
80,长安凯程,1.2,5.41,6.59,110,重庆,0,1,0,2,60,0,0,0,0,1,6
81,比亚迪,1.2,6.87,13.19,114,重庆,0,1,0,1,30,1,0,0,0,3,4
82,长城,1.66,7.08,14.74,103,玉溪,0,1,0,0,7,1,0,1,0,3,0
83,雪佛兰,2.2,28.85,16.38,162,重庆,0,1,1,3,15,1,0,0,0,1,9
84,雪佛兰,2.2,7.9,8.38,112,青岛,0,1,1,3,7,0,0,0,0,1,9
85,雪铁龙,1.3,11.34,9.78,151,济南,0,1,0,0,7,1,0,1,0,3,3
86,起亚,0.95,9.36,11.06,140,成都,0,1,0,1,7,1,1,0,0,1,8
87,雪铁龙,2.98,20.61,18.82,125,苏州,0,1,1,0,7,1,1,1,0,1,7
88,东风风神,2.8,13.86,8.1,90,成都,0,0,0,0,7,1,1,1,0,3,1
89,雪铁龙,1.9,11.14,15.69,117,重庆,0,1,0,0,30,0,1,1,0,1,9
90,众泰,2.8,9.27,9.39,78,重庆,0,1,0,0,60,0,0,1,0,2,5
91,奇瑞,0.8,4.16,2.77,109,潍坊,0,1,0,3,7,1,0,0,0,1,7
92,吉利汽车,2.0,11.5,7.05,118,重庆,0,1,0,0,15,0,0,1,0,1,7
93,东风小康,0.7,3.64,7.19,120,重庆,0,1,0,1,15,0,1,0,0,1,11
