,二手车价格,品牌,新车购入价格,行驶里程,使用时间,车牌所在地,外迁标准1,外迁标准2,变速箱,过户次数,上架时间,超值,急售,0过户,准新车,综合车况,外观检测
0,2.6,0,7.9,11.65,88,0,0,0,0,0,3,1,0,1,0,3,0
1,1.0,0,7.59,9.97,105,1,0,1,0,1,3,1,0,0,0,3,1
2,2.5,1,9.87,8.95,96,1,0,0,1,0,3,1,1,1,0,3,2
3,2.6,1,19.52,13.21,153,2,0,1,1,0,3,1,0,1,0,1,11
4,2.3,1,12.5,10.81,106,1,0,1,0,0,3,0,0,1,0,3,3
5,2.6,1,13.65,18.0,110,1,0,1,1,1,3,1,0,0,0,3,3
6,1.8,1,10.82,11.65,139,0,0,1,0,0,3,1,0,1,0,3,0
7,2.2,0,3.52,5.63,51,1,0,0,0,1,120,1,1,0,0,3,0
8,1.8,1,13.01,21.8,172,2,1,1,1,0,3,1,0,1,0,3,0
9,3.0,1,8.63,5.25,83,0,0,0,0,1,3,1,0,0,0,1,9
10,1.78,0,7.38,10.44,114,1,0,1,0,0,120,1,0,1,0,3,2
11,2.5,0,7.28,6.23,97,1,0,1,0,0,3,0,0,1,0,3,3
12,2.58,0,10.81,10.42,124,0,0,1,1,0,120,1,1,1,0,3,3
13,2.5,0,4.06,2.8,73,1,0,1,0,0,120,1,0,1,0,3,0
14,1.5,1,18.87,10.53,155,0,0,1,0,0,3,1,0,1,0,3,0
15,2.68,0,9.06,13.75,72,1,0,0,1,0,3,1,1,1,0,3,1
16,2.7,0,14.56,17.17,116,2,0,1,1,0,3,1,0,1,0,3,0
17,2.6,1,13.65,11.6,116,0,0,1,1,0,3,0,1,1,0,3,2
18,1.85,1,14.64,9.25,146,2,0,1,1,0,3,1,1,1,0,1,10
19,1.88,1,14.07,16.72,137,1,0,1,1,0,3,1,1,1,0,3,0
20,2.2,1,5.2,12.92,71,1,0,0,0,0,120,1,0,1,0,3,0
21,2.8,1,12.09,8.37,89,1,0,1,1,1,3,1,0,0,0,1,7
22,1.0,0,4.36,9.4,78,1,0,0,0,0,3,1,0,1,0,3,0
23,2.98,1,19.52,11.83,131,0,0,1,1,2,3,1,0,0,0,1,11
