,二手车价格,品牌,新车购入价格,行驶里程,使用时间,车牌所在地,外迁标准1,外迁标准2,变速箱,过户次数,上架时间,超值,急售,0过户,准新车,综合车况,外观检测
0,2.6,宝骏,7.9,11.65,88,惠州,0,0,0,0,3,1,0,1,0,3,0
1,1.0,五菱汽车,7.59,9.97,105,合肥,0,1,0,1,3,1,0,0,0,3,1
2,2.5,标致,9.87,8.95,96,武汉,0,0,1,0,3,1,1,1,0,3,2
3,2.6,马自达,19.52,13.21,153,北京,0,1,1,0,3,1,0,1,0,1,11
4,2.3,雪佛兰,12.5,10.81,106,沈阳,0,1,0,0,3,0,0,1,0,3,3
5,2.6,福特,13.65,18.0,110,合肥,0,1,1,1,3,1,0,0,0,3,3
6,1.8,起亚,10.82,11.65,139,大连,0,1,0,0,3,1,0,1,0,3,0
7,2.2,五菱汽车,3.52,5.63,51,东莞,0,0,0,1,120,1,1,0,0,3,0
8,1.8,本田,13.01,21.8,172,广州,1,1,1,0,3,1,0,1,0,3,0
9,3.0,大众,8.63,5.25,83,大同,0,0,0,1,3,1,0,0,0,1,9
10,1.78,江淮,7.38,10.44,114,东莞,0,1,0,0,120,1,0,1,0,3,2
11,0.8,比亚迪,9.75,27.34,152,成都,1,1,0,1,3,1,1,0,0,2,3
12,2.5,五菱汽车,7.28,6.23,97,南京,0,1,0,0,3,0,0,1,0,3,3
13,2.58,荣威,10.81,10.42,124,荆州,0,1,1,0,120,1,1,1,0,3,3
14,2.5,长安凯程,4.06,2.8,73,郑州,0,1,0,0,120,1,0,1,0,3,0
15,1.5,起亚,18.87,10.53,155,安庆,0,1,0,0,3,1,0,1,0,3,0
16,2.68,东风风行,9.06,13.75,72,东莞,0,0,1,0,3,1,1,1,0,3,1
17,2.7,斯柯达,14.56,17.17,116,上海,0,1,1,0,3,1,0,1,0,3,0
18,0.88,吉利汽车,4.67,7.01,115,荆州,0,1,0,2,120,1,1,0,0,3,1
19,2.6,福特,13.65,11.6,116,湖州,0,1,1,0,3,0,1,1,0,3,2
20,1.85,福特,14.64,9.25,146,北京,0,1,1,0,3,1,1,1,0,1,10
21,1.88,雪佛兰,14.07,16.72,137,重庆,0,1,1,0,3,1,1,1,0,3,0
22,2.2,吉利汽车,5.2,12.92,71,武汉,0,0,0,0,120,1,0,1,0,3,0
23,2.4,斯柯达,8.23,7.72,126,昆明,0,1,0,0,3,0,0,1,0,0,17
24,2.8,别克,12.09,8.37,89,东莞,0,1,1,1,3,1,0,0,0,1,7
25,1.0,北汽威旺,4.36,9.4,78,东莞,0,0,0,0,3,1,0,1,0,3,0
26,2.98,福特,19.52,11.83,131,昆明,0,1,1,2,3,1,0,0,0,1,11
27,2.3,福特,13.01,5.8,115,无锡,0,1,0,0,3,1,1,1,0,2,3
28,0.88,中华,10.4,14.28,170,商丘,0,1,0,2,120,1,0,0,0,3,1
29,1.58,福特,13.87,11.65,143,成都,0,1,1,1,3,1,0,0,0,1,11
30,2.98,东南,8.95,13.23,111,东莞,0,1,1,0,120,1,0,1,0,3,2
31,1.98,福特,9.37,9.6,113,东莞,0,1,0,0,120,1,0,1,0,3,1
32,1.8,雪佛兰,6.92,10.54,92,芜湖,0,1,0,0,3,1,0,1,0,2,4
33,2.3,东风风行,10.84,18.85,85,驻马店,0,1,0,0,3,1,0,1,0,3,0
34,2.7,本田,9.36,7.37,142,唐山,0,1,0,5,3,1,1,0,0,3,3
35,1.5,丰田,15.72,16.21,176,永州,1,1,0,1,3,1,0,0,0,1,14
36,2.18,起亚,20.49,15.08,161,庆阳,0,1,0,1,120,1,1,0,0,3,0
37,2.0,雪佛兰,9.16,9.38,110,天津,0,1,0,0,3,1,0,1,0,3,3
38,1.3,长城,6.73,7.46,111,郑州,0,1,0,0,3,1,0,1,0,2,3
39,2.28,福特,11.92,13.01,115,西安,0,1,1,1,3,1,1,0,0,1,7
40,2.9,宝骏,6.55,4.75,61,青岛,0,0,0,0,3,0,1,1,0,3,0
41,1.5,北汽威旺,4.15,6.04,75,沈阳,0,0,0,0,3,0,0,1,0,2,5
42,2.8,别克,34.72,12.55,147,苏州,0,1,1,1,3,1,0,0,0,1,10
43,1.7,大众,9.66,2.59,156,唐山,0,1,0,0,3,1,0,1,0,3,3
44,1.5,奇瑞,9.96,15.59,166,哈尔滨,1,1,0,0,3,0,0,1,0,3,3
45,2.6,荣威,8.21,6.1,70,泰州,0,0,0,0,3,1,1,1,0,1,13
46,2.5,丰田,10.51,9.92,140,无锡,0,1,1,0,3,1,1,1,0,1,11
47,2.8,江淮,8.84,6.52,88,合肥,0,0,1,0,3,1,0,1,0,3,2
48,2.2,别克,10.94,6.4,123,佛山,0,1,1,1,3,1,0,0,0,3,0
49,0.88,比亚迪,7.38,13.02,132,株洲,1,1,0,0,120,1,0,1,0,1,9
50,1.1,五菱汽车,3.11,6.96,99,南阳,0,1,0,0,120,1,0,1,0,3,3
51,2.58,别克,12.29,10.52,137,珠海,0,1,1,0,120,1,0,1,0,3,3
52,1.8,长城,6.77,12.35,90,泰安,0,1,0,1,3,1,0,0,0,2,5
53,2.96,福特,10.83,9.35,103,泉州,0,1,0,0,120,1,1,1,0,3,0
54,1.88,斯柯达,14.29,9.13,141,上海,0,1,0,0,3,1,0,1,0,1,8
55,2.58,马自达,13.35,9.58,160,兰州,1,1,1,1,120,1,1,0,0,3,5
56,2.6,日产,9.68,11.06,109,哈尔滨,0,1,0,2,3,1,0,0,0,3,4
57,3.0,五菱汽车,5.19,8.8,52,郑州,0,0,0,0,3,0,0,1,0,3,2
58,2.0,大众,20.28,11.38,159,北京,0,1,1,0,3,1,0,1,0,1,10
59,2.2,北汽幻速,6.55,4.74,77,郑州,0,1,0,1,120,1,0,0,0,3,2
60,2.7,雪佛兰,12.5,7.33,100,潍坊,0,1,0,1,120,1,1,0,0,3,2
61,0.9,雪铁龙,16.48,20.03,162,北京,0,1,1,2,3,1,0,0,0,2,4
62,0.8,大众,7.8,13.09,149,郑州,0,1,0,0,3,1,0,1,0,3,2
63,1.6,起亚,10.3,23.25,137,成都,0,1,0,1,3,1,0,0,0,3,0
64,3.0,哈弗,13.33,9.21,107,北京,0,1,0,0,3,0,0,1,0,1,10
65,2.7,大众,10.72,10.01,139,郑州,0,1,1,3,120,1,0,0,0,1,9
66,2.98,纳智捷,24.31,13.9,115,东莞,0,1,1,0,120,1,0,1,0,3,3
67,1.78,北汽威旺,5.04,13.54,75,东莞,0,1,0,0,120,1,0,1,0,3,2
68,2.6,马自达,19.52,18.77,144,绥化,0,1,1,0,3,1,0,1,0,1,7
69,0.88,长安凯程,5.31,9.96,103,郑州,0,1,0,1,120,1,0,0,0,3,3
70,1.7,五菱汽车,5.3,13.51,113,成都,1,1,0,0,3,1,1,1,0,3,0
71,2.3,启辰,4.99,1.89,73,郑州,0,0,0,0,120,1,0,1,0,3,0
72,2.2,福特,11.92,6.16,119,南京,0,1,1,0,3,0,0,1,0,3,5
73,2.0,雪佛兰,8.75,14.8,91,郑州,0,1,0,0,120,1,0,1,0,1,10
74,2.08,铃木,6.34,11.43,124,阜阳,0,1,0,0,120,1,1,1,0,3,0
75,0.9,宝骏,4.88,6.85,152,贵港,0,1,0,2,3,1,0,0,0,3,0
76,2.88,别克,14.36,9.31,103,株洲,0,1,0,0,120,1,0,1,0,1,13
77,1.5,标致,9.68,9.16,139,南阳,0,1,0,1,120,1,0,0,0,3,1
78,2.28,长安,8.75,6.9,110,株洲,0,1,0,1,120,1,0,0,0,3,1
79,1.28,铃木,6.46,13.68,109,郑州,0,1,0,0,120,1,0,1,0,1,11
80,2.35,江淮,6.93,9.38,91,荆州,0,1,0,2,120,1,1,0,0,3,0
81,1.18,东风风神,7.9,12.63,125,九江,0,1,0,0,120,1,1,1,0,3,3
82,2.98,江淮,12.46,7.47,96,乌鲁木齐,0,1,0,0,120,1,0,1,0,3,0
83,0.36,奇瑞,3.21,10.83,140,郑州,0,1,0,1,120,1,0,0,0,3,1
84,1.58,北京汽车,7.17,9.4,107,东莞,0,1,1,1,120,1,1,0,0,1,7
85,2.0,众泰,7.28,5.76,55,大同,0,0,0,0,3,1,1,1,0,1,12
86,1.5,东风小康,3.12,4.85,53,郑州,0,0,0,0,3,1,0,1,0,3,0
87,1.5,五菱汽车,5.61,9.1,92,株洲,0,1,0,1,120,1,0,0,0,1,8
88,2.3,起亚,10.82,6.56,102,沈阳,0,0,0,0,3,1,0,1,0,3,0
89,2.0,日产,26.03,10.33,168,成都,1,1,1,0,3,1,1,1,0,3,0
90,2.8,五菱汽车,4.46,4.48,59,南阳,0,0,0,0,120,1,0,1,0,3,0
91,1.55,三菱,9.89,8.28,172,太原,1,1,0,1,120,1,1,0,0,3,2
92,2.28,比亚迪,7.6,9.6,89,郑州,0,1,0,0,120,1,0,1,0,3,0
93,2.18,本田,16.04,8.48,173,郑州,1,1,0,0,120,1,0,1,0,1,6
94,2.8,日产,13.01,16.28,131,潜江,0,1,0,0,3,1,0,1,0,1,7
95,1.5,宝骏,4.15,4.67,82,临沂,0,1,0,1,3,1,0,0,0,2,4
96,1.8,奇瑞,4.47,3.24,76,唐山,0,0,0,0,120,1,0,1,0,1,6
97,2.8,克莱斯勒,34.63,15.29,170,武汉,1,1,1,1,3,1,1,0,0,3,0
98,2.58,别克,10.1,7.65,89,郑州,0,0,0,1,120,1,0,0,0,3,3
99,2.0,荣威,10.2,14.48,114,惠州,0,1,1,1,3,1,0,0,0,2,3
100,1.25,别克,12.8,11.99,162,成都,0,1,1,1,3,1,0,0,0,3,0
