,y_test,xgb_y_pred,y_test
0,5.2,4.146543026,5.2
1,28.2,27.97635078,28.2
2,11,10.85785484,11
3,17.5,16.8485527,17.5
4,4,3.928785801,4
5,8,7.433834076,8
6,23.98,24.48874283,23.98
7,22.68,22.22280502,22.68
8,22.5,20.56321526,22.5
9,12,12.04572964,12
10,26.5,25.16517448,26.5
11,8,6.894226551,8
12,28.5,26.76963615,28.5
13,18,21.81823349,18
14,37,27.96448898,37
15,12.87,15.97445774,12.87
16,17.95,20.18288803,17.95
17,3.1,3.047528982,3.1
18,12,11.80016518,12
19,18,19.86592484,18
20,6.58,6.928676128,6.58
21,12,12.38299179,12
22,10,10.01201916,10
23,21.98,21.5027504,21.98
24,32,28.99346161,32
25,17.6,18.99667931,17.6
26,5.18,4.415868282,5.18
27,15,15.05234432,15
28,17.98,16.39953232,17.98
29,25,24.90494347,25
30,20,18.92866707,20
31,29,23.41995049,29
32,15,14.99698162,15
33,8.2,8.379359245,8.2
34,8.58,8.999759674,8.58
35,13,10.56757069,13
36,2.4,2.010584831,2.4
37,2.28,2.250989676,2.28
38,8.18,7.873182297,8.18
39,18,18.02830315,18
40,6,5.981872082,6
41,6.58,8.005651474,6.58
42,8.5,10.13545609,8.5
43,14.2,16.01358414,14.2
44,2.68,3.361654758,2.68
45,20,19.88409042,20
46,33,35.64340973,33
47,5,5.135746002,5
48,4.6,7.633322716,4.6
49,23,23.41891861,23
50,21,21.97283173,21
51,33,34.09217834,33
52,5,5.141534328,5
53,19.5,20.28761673,19.5
54,20,18.92866707,20
55,36.99,33.19889832,36.99
56,22.98,19.50967407,22.98
57,21,21.23533249,21
58,26,24.15463638,26
59,8.68,7.22160244,8.68
60,12.5,13.41213608,12.5
61,22,21.9525032,22
62,7.2,7.783910751,7.2
63,17,17.04055214,17
64,9.2,8.971642494,9.2
65,5,5.047440529,5
66,20,20.0818882,20
67,12,12.18098164,12
68,26,24.84142494,26
69,3.7,3.63760066,3.7
70,7,6.841955662,7
71,10.3,12.64933205,10.3
72,12,12.05842686,12
73,7,7.159077168,7
74,4.98,4.253567696,4.98
75,16.5,17.13258743,16.5
76,5.6,6.628284454,5.6
77,2.65,3.619958162,2.65
78,20.38,19.68216896,20.38
79,6,6.187682629,6
80,5.5,5.585054874,5.5
81,7.8,6.993251324,7.8
82,7.9,8.710089684,7.9
83,12.98,12.04672813,12.98
84,18.5,17.55739975,18.5
85,2.38,3.187032461,2.38
86,19.8,23.86973572,19.8
87,22,19.83339119,22
88,24.38,21.91278648,24.38
89,32.5,34.40873718,32.5
90,5.8,6.199555397,5.8
91,12.68,13.87097645,12.68
92,2.58,1.639319539,2.58
93,16.5,13.00447464,16.5
94,11,10.88615608,11
95,5.8,5.400737762,5.8
96,6,6.126636028,6
97,11,10.95043659,11
98,7,8.421291351,7
99,24.3,24.43917465,24.3
100,19.5,19.7663269,19.5
101,16,15.98482609,16
102,4.3,3.501591682,4.3
103,10.38,10.22902489,10.38
104,23,23.09382057,23
105,25,24.8539238,25
106,26.2,25.08896446,26.2
107,9,8.789392471,9
108,23.8,21.916008,23.8
109,6.88,8.262584686,6.88
110,21,21.88266373,21
111,28,27.64076042,28
112,8.2,7.768942356,8.2
113,19,17.83452415,19
114,4.38,3.648218632,4.38
115,6.58,6.167490959,6.58
116,11.5,11.45759773,11.5
117,19.8,21.41678047,19.8
118,11.8,10.70967865,11.8
119,23.5,28.44198227,23.5
120,14,11.11347675,14
121,9,6.868277073,9
122,19.2,21.48115158,19.2
123,26.5,30.00188255,26.5
124,11,10.99883652,11
125,8.7,8.587973595,8.7
126,9.38,12.71690655,9.38
127,18,18.08983803,18
128,11,11.01505947,11
129,11,10.91037369,11
130,18.5,19.59502983,18.5
131,19.98,20.09676552,19.98
132,19.8,19.52560806,19.8
133,2.5,3.546895027,2.5
134,2.8,2.798655987,2.8
135,23.5,22.17213821,23.5
136,6,6.01190567,6
137,9,8.768388748,9
138,22,21.17486763,22
139,4.4,3.438863754,4.4
140,12.99,13.93321323,12.99
141,20,20.04808617,20
142,21,20.94596863,21
143,14,11.58003616,14
144,21,31.33491707,21
145,4.2,3.457834244,4.2
146,12.5,10.40769386,12.5
147,1.3,2.159193039,1.3
148,12.38,9.524894714,12.38
149,4.5,4.820583344,4.5
150,2.98,2.560171366,2.98
151,21.9,23.56398964,21.9
152,4,4.968611717,4
153,20.8,17.35681725,20.8
154,24,23.90662193,24
155,17,16.86203957,17
156,5,9.30820179,5
157,34.9,35.08572006,34.9
158,20,20.11845016,20
159,22,21.0220089,22
160,6.8,6.77538681,6.8
161,15,14.68019295,15
162,22,21.93201828,22
163,12,7.034362316,12
164,16.59,17.81969833,16.59
165,15.58,17.25097847,15.58
166,8.28,8.455690384,8.28
167,12,15.93985462,12
168,15.8,21.9847374,15.8
169,25.6,23.97533226,25.6
170,18.5,17.88003731,18.5
171,36.8,21.32244873,36.8
172,34,33.96497345,34
173,6.5,6.193517685,6.5
174,20.5,18.3604126,20.5
175,19.8,19.90145683,19.8
176,21,21.10888481,21
177,7,7.012280941,7
178,18,18.00130463,18
179,19.2,23.80340385,19.2
180,18.5,16.87516785,18.5
181,22,22.1173687,22
182,20,19.9058876,20
183,16.1,13.77369213,16.1
184,15,14.95896339,15
185,7.5,7.917431355,7.5
186,10.5,9.854844093,10.5
187,10.88,8.685760498,10.88
188,21.8,12.43396187,21.8
189,12,12.51818657,12
190,7.5,6.388122559,7.5
191,23,22.97672272,23
192,33.5,33.81946564,33.5
193,7.88,9.818829536,7.88
194,25,21.73313713,25
195,12.38,16.05305672,12.38
196,8.7,9.632913589,8.7
197,4.28,2.531837463,4.28
198,17.5,17.76802063,17.5
199,19,18.62767792,19
200,18,17.5131073,18
201,18.4,18.55644798,18.4
202,25.5,23.70184326,25.5
203,20.58,22.69721031,20.58
204,21,21.98784256,21
205,26.8,29.02029037,26.8
206,6.08,5.973913193,6.08
207,12,10.33748531,12
208,4,3.990124941,4
209,21.5,19.98829269,21.5
210,13,13.75963497,13
211,19,19.05153847,19
212,19,19.24407959,19
213,8,8.065653801,8
214,6.8,6.192885399,6.8
215,22.28,18.93392944,22.28
216,4,4.048592567,4
217,11,10.70354652,11
218,5.48,6.098487377,5.48
219,16.5,16.86911964,16.5
220,15.98,18.481287,15.98
221,16.68,17.75729752,16.68
222,11,11.39902401,11
223,32,22.81806946,32
224,17.5,16.63760948,17.5
225,13,15.03351498,13
226,21,21.28000641,21
227,6.5,7.829424858,6.5
228,32,31.12121964,32
229,5.7,8.495650291,5.7
230,1.5,2.526744366,1.5
231,2.8,3.683680296,2.8
232,5.3,6.651882172,5.3
233,26,26.01735687,26
234,10,10.19215965,10
235,19.68,20.10355377,19.68
236,7.88,9.166032791,7.88
237,16,16.07353592,16
238,14,14.86646843,14
239,16.8,18.4572258,16.8
240,12.2,11.71446419,12.2
241,11,8.748401642,11
242,4,4.201927185,4
243,21,20.58425713,21
244,20.58,19.34096146,20.58
245,7.3,8.410368919,7.3
246,9.9,11.19094467,9.9
247,12.28,11.10572338,12.28
248,16.8,15.54345798,16.8
249,5.68,5.10221386,5.68
250,18,16.73748016,18
251,19,19.61837196,19
252,15.28,21.17632103,15.28
253,15.18,14.47108555,15.18
254,16.6,15.950737,16.6
255,18,18.59365654,18
256,17.5,20.25219345,17.5
257,19,18.92281342,19
258,3.8,5.409239292,3.8
259,15,15.03315926,15
260,15,15.08733273,15
261,1.5,2.287480831,1.5
262,20.38,15.29309464,20.38
263,5.38,5.51944828,5.38
264,5,4.751653671,5
265,14,18.1242218,14
266,4.5,6.488690853,4.5
267,21.5,18.20669556,21.5
268,13,11.49582291,13
269,14.88,15.92989635,14.88
270,2,1.623936534,2
271,18.95,21.37706947,18.95
272,17.5,18.62115669,17.5
273,23,23.37027168,23
274,22.8,20.99286842,22.8
275,6,4.513307571,6
276,26.8,24.89988136,26.8
277,9,9.054264069,9
278,7,8.370107651,7
279,18,17.66736412,18
280,24.5,25.37724876,24.5
281,7.2,7.140190601,7.2
282,25.5,25.42575455,25.5
283,4.38,3.27774477,4.38
284,6.3,5.682700634,6.3
285,19,18.16146469,19
286,18.8,21.67095184,18.8
287,38,37.95516586,38
288,24.68,23.64477158,24.68
289,17,23.79610825,17
290,14.98,15.58213711,14.98
291,5,4.966426849,5
292,16.8,17.02993393,16.8
293,2.8,2.7785604,2.8
294,20.5,19.3627224,20.5
295,8.9,10.36312389,8.9
296,7.77,9.014399529,7.77
297,5.9,5.356757164,5.9
298,3.5,2.009678602,3.5
299,19.5,18.36412811,19.5
300,7.5,9.00275135,7.5
301,11,10.80338573,11
302,10.55,10.1097908,10.55
303,18.5,18.04759407,18.5
304,9,9.072728157,9
305,19,18.72867012,19
306,8.38,7.485611916,8.38
307,25.5,24.85621643,25.5
308,1,1.500255823,1
309,3.5,1.997282028,3.5
310,32,26.73639107,32
311,19,19.18160439,19
312,3.55,2.843310595,3.55
313,16,17.69034386,16
314,11.5,13.55269432,11.5
315,5,4.961902142,5
316,6.7,6.324467182,6.7
317,12.98,15.32368565,12.98
318,7.2,7.647210121,7.2
319,6.5,8.10643959,6.5
320,20.5,20.48994637,20.5
321,8.5,7.751916409,8.5
322,22.18,23.33664131,22.18
323,18,22.91832542,18
324,4.98,4.497242451,4.98
325,7.2,6.671191692,7.2
326,9,9.22027874,9
327,7,8.421291351,7
328,18,18.89110756,18
329,22,22.0313015,22
330,15.5,20.28282166,15.5
331,4.2,2.0580585,4.2
332,28,27.9556427,28
333,17.3,12.69954395,17.3
334,26.98,21.86470985,26.98
335,12.3,14.89476013,12.3
336,9.8,9.552176476,9.8
337,2.28,2.648727655,2.28
338,4,5.854196548,4
339,22,21.87138367,22
340,6,6.048908234,6
341,22,28.67413139,22
342,8.5,8.258116722,8.5
343,26,26.74381828,26
344,32.25,31.7864399,32.25
345,17.5,16.99908066,17.5
346,15.6,23.64980125,15.6
347,6.3,5.781853199,6.3
348,21,20.7461853,21
349,8.2,9.895504951,8.2
350,3.88,2.981860399,3.88
351,18.8,16.53546143,18.8
352,3.5,6.392188549,3.5
353,17.5,20.15796089,17.5
354,4.8,5.875701904,4.8
355,12.99,16.26161957,12.99
356,6.18,8.274672508,6.18
357,6.5,7.81863451,6.5
358,12.5,14.55671692,12.5
359,26.98,24.77768898,26.98
360,20,20.1594696,20
