,y_test,xgb_y_pred,y_test,,,,,,,,,,,
0,22.8,21.51975441,22.8,,,,,,,算法,R2,均方误差,平均绝对误差,平均相对误差
1,16.88,14.20705605,16.88,,,,,,,XGBoost调参后,0.947,4.49,1.25,11.80%
2,22,22.13864136,22,,,,,,,XGBoost,0.915,7.14,1.86,16.00%
3,16.8,24.18378639,16.8,,,,,,,随机森林回归,0.939,5.16,1.45,12.80%
4,15.2,9.266729355,15.2,,,,,,,回归树算法,0.901,8.37,1.89,16.10%
5,13,13.25538635,13,,,,,,,KNN回归算法,0.86,11.9,2.28,19.20%
6,12.6,11.21577072,12.6,,,,,,,SVM高斯核函数,0.843,13.2,2.43,19.40%
7,10,9.85532856,10,,,,,,,线性回归,0.766,19.7,3.28,34.60%
8,12.6,13.30154896,12.6,,,,,,,岭回归,0.766,19.7,3.28,34.60%
9,20.68,20.36101723,20.68,,,,,,,Lasso回归,0.739,22,3.43,35.00%
10,2.6,3.544754744,2.6,,,,,,,,,,,
11,1.68,3.277833939,1.68,,,,,,,,,,,
12,18,18.99944687,18,,,,,,,,,,,
13,10,9.963506699,10,,,,,,,,,,,
14,8.99,14.03523827,8.99,,,,,,,,,,,
15,36,36.24095917,36,,,,,,,,,,,
16,34.38,34.33801651,34.38,,,,,,,,,,,
17,1.9,1.911704898,1.9,,,,,,,,,,,
18,16,15.91843891,16,,,,,,,,,,,
19,5.3,5.482433319,5.3,,,,,,,,,,,
20,22,21.91876221,22,,,,,,,,,,,
21,19,18.94111252,19,,,,,,,,,,,
22,13.9,12.78551865,13.9,,,,,,,,,,,
23,4.3,5.258797646,4.3,,,,,,,,,,,
24,10.5,11.12818146,10.5,,,,,,,,,,,
25,26.88,27.61488152,26.88,,,,,,,,,,,
26,16,16.02067184,16,,,,,,,,,,,
27,19.8,16.36919403,19.8,,,,,,,,,,,
28,22,19.50440407,22,,,,,,,,,,,
29,14.8,14.89006233,14.8,,,,,,,,,,,
30,12.8,12.42908287,12.8,,,,,,,,,,,
31,18,16.25364494,18,,,,,,,,,,,
32,5.2,6.861433506,5.2,,,,,,,,,,,
33,18.3,20.01490211,18.3,,,,,,,,,,,
34,5.88,6.074043274,5.88,,,,,,,,,,,
35,37.8,36.09353256,37.8,,,,,,,,,,,
36,5.8,7.895671844,5.8,,,,,,,,,,,
37,9.98,6.981719971,9.98,,,,,,,,,,,
38,3.5,3.351107121,3.5,,,,,,,,,,,
39,20,21.31381226,20,,,,,,,,,,,
40,3.45,5.116410255,3.45,,,,,,,,,,,
41,13,13.02204704,13,,,,,,,,,,,
42,1.8,2.073301792,1.8,,,,,,,,,,,
43,13,13.11588764,13,,,,,,,,,,,
44,14.28,24.10548019,14.28,,,,,,,,,,,
45,2.88,2.543402195,2.88,,,,,,,,,,,
46,31.5,28.42601967,31.5,,,,,,,,,,,
47,3.6,2.481227636,3.6,,,,,,,,,,,
48,10.2,10.2072401,10.2,,,,,,,,,,,
49,8,8.143324852,8,,,,,,,,,,,
50,4.6,4.343423367,4.6,,,,,,,,,,,
51,15.6,14.10231304,15.6,,,,,,,,,,,
52,9.5,9.445635796,9.5,,,,,,,,,,,
53,22.08,19.16710663,22.08,,,,,,,,,,,
54,16,15.07412529,16,,,,,,,,,,,
55,17.1,17.2246685,17.1,,,,,,,,,,,
56,22,21.93811989,22,,,,,,,,,,,
57,8.5,7.538713932,8.5,,,,,,,,,,,
